period,reporterDesc,flowDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue
2014,Algeria,Import,kg,2200,false,2200,false,,false,46258,,46258
2014,Algeria,Export,kg,94000,false,94000,false,,false,,121208,121208
2014,Andorra,Import,kg,1681,false,1681,false,0,false,19513568,,19513568
2014,Angola,Import,kg,40608,false,40608,false,,false,94718,,94718
2014,Azerbaijan,Import,kg,1998,false,1998,false,,false,1600,,1600
2014,Argentina,Import,kg,100031,false,100031,false,,false,687299.12,671559.85,687299.12
2014,Argentina,Export,kg,15397340,false,15397340,false,,false,,60332116.89,60332116.89
2014,Australia,Import,kg,2206929,false,2206929,false,,false,,11344037,11344037
2014,Australia,Export,kg,324734107,false,324734107,false,,false,,2178687316,2178687316
2014,Austria,Import,kg,1205097967,true,1205097967,true,0,false,8291233728,,8291233728
2014,Austria,Export,kg,32226248,true,32226248,true,0,false,,225656375,225656375
2014,Bahamas,Import,kg,28,false,28,false,,false,236,,236
2014,Bahrain,Import,kg,1112,false,1112,false,,false,2840,,2840
2014,Barbados,Import,kg,4,false,4,false,,false,75,,75
2014,Belgium,Import,kg,19570115.24,false,19570115.24,false,0,false,46412055.72,0,46412055.72
2014,Belgium,Export,kg,12816256384,true,12816256384,true,0,false,0,31687456971,31687456971
2014,Bermuda,Import,kg,31,false,31,false,,false,205,,205
2014,Bolivia (Plurinational State of),Import,kg,24726,false,24726.76,false,,false,196246.69,190095.66,196246.69
2014,Bolivia (Plurinational State of),Export,kg,50267,false,50267,false,,false,,189493.48,189493.48
2014,Bosnia Herzegovina,Import,kg,33593,false,33593,false,,false,18710,,18710
2014,Bosnia Herzegovina,Export,kg,771301,false,771301,false,,false,,467797,467797
2014,Botswana,Import,kg,588.46,false,588.46,false,0,false,4605581,,4605581
2014,Brazil,Import,kg,250688,false,250688,false,0,false,1200082,1179391,1200082
2014,Brazil,Export,kg,9210858,false,9210858,false,0,false,,30599745,30599745
